Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,2.0,479.0,69.0,0.0,0.004158004158004158,1.0,0.35264598540145986,0.0010465407278766438
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,2.0,479.0,69.0,0.0,0.004158004158004158,1.0,0.5629562043795621,0.0010465407278766438
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,2.0,481.0,67.0,0.0,0.004140786749482402,1.0,0.3517335766423358,0.0010120157995302504
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,SMOTE,NO_SELECTION,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,SMOTE,NO_SELECTION,NO_SENSITIVE,2.0,470.0,78.0,0.0,0.00423728813559322,1.0,0.5711678832116789,0.001205508245367285
Syncope,1,49.954502,18.397085,0.36363637,IBK,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,2.0,470.0,78.0,0.0,0.00423728813559322,1.0,0.5711678832116789,0.001205508245367285
Syncope,1,49.954502,18.397085,0.36363637,IBK,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,2.0,475.0,73.0,0.0,0.0041928721174004195,1.0,0.7823905109489051,0.0011164554832493458
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,SMOTE,NO_SELECTION,NO_SENSITIVE,2.0,495.0,53.0,0.0,0.004024144869215292,1.0,0.5666058394160584,7.780901556914449E-4
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,2.0,495.0,53.0,0.0,0.004024144869215292,1.0,0.5483576642335767,7.780901556914449E-4
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,2.0,531.0,17.0,0.0,0.00375234521575985,1.0,0.5191605839416058,2.327826426307203E-4
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9945255474452555,0.4972577696526481
