File name; Release; Commit; Old name file; SizeLOC; Age
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;121;35
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;215;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;950;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;78;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;170;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;441;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;185;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;516;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;132;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;152;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;null;124;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;123;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;241;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;495;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;694;5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;174;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;42;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;148;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;55;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;139;35
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;1;commit 1c90beb59a6aa94f18ca6b5ca1f94a0db5e0cc14 1322855939 -----sp;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;71;35
