Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Bookkeeper,1,43.79562,20.0,8.766233,IBK,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,16.0,49.0,232.0,11.0,0.24615384615384617,0.5925925925925926,0.7598523790694609,0.2556191089986307
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,25.0,195.0,86.0,2.0,0.11363636363636363,0.9259259259259259,0.8123764333728747,0.05483207676490744
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,25.0,195.0,86.0,2.0,0.11363636363636363,0.9259259259259259,0.6159878739949914,0.05483207676490744
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,24.0,61.0,220.0,3.0,0.2823529411764706,0.8888888888888888,0.8496111770133122,0.3408680532334651
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,SMOTE,NO_SELECTION,NO_SENSITIVE,25.0,99.0,182.0,2.0,0.20161290322580644,0.9259259259259259,0.9148543561354949,0.21862754948256802
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,25.0,99.0,182.0,2.0,0.20161290322580644,0.9259259259259259,0.7868063793330697,0.21862754948256802
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,26.0,88.0,193.0,1.0,0.22807017543859648,0.9629629629629629,0.8890865954922894,0.2645417471560421
Bookkeeper,1,43.79562,20.0,8.766233,IBK,SMOTE,NO_SELECTION,NO_SENSITIVE,18.0,33.0,248.0,9.0,0.35294117647058826,0.6666666666666666,0.776789244760775,0.39181946403385054
Bookkeeper,1,43.79562,20.0,8.766233,IBK,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,18.0,33.0,248.0,9.0,0.35294117647058826,0.6666666666666666,0.7746144721233689,0.39181946403385054
Bookkeeper,1,43.79562,20.0,8.766233,IBK,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,16.0,44.0,237.0,11.0,0.26666666666666666,0.5925925925925926,0.7765915381573745,0.280862625233486
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,SMOTE,NO_SELECTION,NO_SENSITIVE,24.0,228.0,53.0,3.0,0.09523809523809523,0.8888888888888888,0.7947805456702254,0.016260162601626
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,24.0,228.0,53.0,3.0,0.09523809523809523,0.8888888888888888,0.5387504942665085,0.016260162601626
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,25.0,185.0,96.0,2.0,0.11904761904761904,0.9259259259259259,0.8636483458547516,0.06584922797456853
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8368920521945433,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.798932384341637,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8792671675233953,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,IBK,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8368920521945433,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.798932384341637,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8792671675233953,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8368920521945433,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.798932384341637,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8792671675233953,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,25.0,101.0,180.0,2.0,0.1984126984126984,0.9259259259259259,0.8446026097271648,0.21319444444444446
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,25.0,101.0,180.0,2.0,0.1984126984126984,0.9259259259259259,0.7832476604718598,0.21319444444444446
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,23.0,102.0,179.0,4.0,0.184,0.8518518518518519,0.8567286147357321,0.1851445115559328
Bookkeeper,1,43.79562,20.0,8.766233,IBK,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,21.0,51.0,230.0,6.0,0.2916666666666667,0.7777777777777778,0.8128377487808093,0.34009923319801544
Bookkeeper,1,43.79562,20.0,8.766233,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,21.0,51.0,230.0,6.0,0.2916666666666667,0.7777777777777778,0.7981415579280348,0.34009923319801544
Bookkeeper,1,43.79562,20.0,8.766233,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,23.0,177.0,104.0,4.0,0.115,0.8518518518518519,0.8064452352708581,0.056972731578591285
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,27.0,247.0,34.0,0.0,0.09854014598540146,1.0,0.8260181890075129,0.02356504774617517
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,247.0,34.0,0.0,0.09854014598540146,1.0,0.5604982206405694,0.02356504774617517
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,27.0,254.0,27.0,0.0,0.09608540925266904,1.0,0.8017661789903783,0.01829589659932237
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.8355081059707394,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,27.0,113.0,168.0,0.0,0.19285714285714287,1.0,0.798932384341637,0.20676451818761957
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,23.0,97.0,184.0,4.0,0.19166666666666668,0.8518518518518519,0.8514564386450507,0.19816475925353114
Bookkeeper,1,43.79562,20.0,8.766233,IBK,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,24.0,214.0,67.0,3.0,0.10084033613445378,0.8888888888888888,0.3790694609199947,0.028094462540716635
Bookkeeper,1,43.79562,20.0,8.766233,IBK,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,24.0,214.0,67.0,3.0,0.10084033613445378,0.8888888888888888,0.5636615262949782,0.028094462540716635
Bookkeeper,1,43.79562,20.0,8.766233,IBK,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,20.0,170.0,111.0,7.0,0.10526315789473684,0.7407407407407407,0.7479899828654277,0.03641119909502265
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,27.0,258.0,23.0,0.0,0.09473684210526316,1.0,0.7435086331883485,0.01538919039476617
